6161 3
8.296200 5.326200 -0.118500 
8.156100 5.362700 -0.059300 
8.298300 5.336200 -0.076400 
8.273000 5.325600 -0.034300 
8.269100 5.344700 -0.118900 
8.166600 5.363200 -0.091200 
8.235000 5.348900 -0.116500 
8.234000 5.327900 -0.025900 
8.169300 5.352300 -0.037300 
8.291300 5.326900 -0.051100 
8.288300 5.342800 -0.106600 
8.242700 5.354200 -0.070100 
8.276200 5.345700 -0.073200 
8.077800 5.301500 -0.154100 
8.073800 5.333900 -0.154400 
8.082000 5.243700 -0.077600 
8.073700 5.377800 -0.016700 
8.073700 5.396500 -0.098700 
8.072600 5.401700 -0.057200 
8.074600 5.286400 0.004800 
8.069900 5.305000 0.010500 
8.084200 5.245500 -0.045800 
8.082100 5.255600 -0.117200 
8.076600 5.329300 -0.195300 
8.078700 5.335100 -0.364600 
8.075700 5.396300 -0.314700 
8.081800 5.379400 -0.226600 
7.900800 5.418400 -0.226100 
7.899100 5.434700 -0.328700 
7.898700 5.367300 -0.384800 
7.896300 5.360500 -0.196900 
7.737600 5.348800 -0.195600 
7.749200 5.369700 -0.386900 
7.737300 5.452500 -0.334300 
7.642700 5.439300 -0.240000 
7.645900 5.469000 -0.354500 
7.642900 5.360300 -0.383200 
7.629700 5.340600 -0.194800 
7.739400 5.426400 -0.237600 
7.891400 5.333100 -0.196800 
8.079400 5.300100 -0.193400 
7.644900 5.317900 -0.392300 
7.746000 5.323900 -0.390400 
7.898600 5.329400 -0.388500 
8.079500 5.288500 -0.366600 
7.622400 5.306100 -0.202200 
7.730100 5.311900 -0.205700 
8.338300 5.338600 -0.205900 
8.283200 5.360800 -0.231900 
8.376100 5.331000 -0.206900 
8.329700 5.345800 -0.326000 
8.377800 5.332100 -0.329600 
8.431400 5.317000 -0.270500 
8.281200 5.365900 -0.302500 
8.272700 5.370200 -0.267300 
8.424400 5.332500 -0.270000 
8.283500 5.360800 -0.267300 
8.380200 5.339200 -0.214100 
8.382700 5.340300 -0.316900 
8.289500 5.358200 -0.295500 
8.342400 5.347800 -0.318700 
8.343900 5.340400 -0.210400 
8.074900 5.405900 -0.271700 
7.900300 5.443500 -0.278100 
7.658000 5.471900 -0.293700 
7.736400 5.457400 -0.282000 
8.293200 5.352100 -0.235300 
8.079400 5.243200 -0.278600 
7.890700 5.260900 -0.285500 
7.615000 5.219900 -0.309800 
7.733500 5.250800 -0.298900 
8.266700 5.366600 -0.230500 
8.308500 5.330600 -0.199100 
8.308200 5.341000 -0.338300 
8.268400 5.370400 -0.305500 
8.343300 5.317700 -0.341000 
8.351100 5.309700 -0.195700 
8.261400 5.377000 -0.268000 
8.413800 5.265400 -0.269200 
8.267400 5.234100 -0.273300 
8.229900 5.385100 -0.268900 
8.245500 5.306300 -0.197900 
8.246300 5.293600 -0.348500 
8.231300 5.377900 -0.308300 
8.236500 5.330300 -0.350600 
8.239800 5.329100 -0.200100 
8.229800 5.370400 -0.228000 
7.780200 5.368300 -0.386000 
7.779600 5.446800 -0.329500 
7.780800 5.420100 -0.232400 
7.782000 5.323400 -0.391800 
7.773000 5.318500 -0.198900 
7.774400 5.354800 -0.194900 
7.780800 5.451800 -0.278100 
7.772400 5.252600 -0.289900 
7.934300 5.434300 -0.274700 
7.920800 5.326000 -0.387000 
7.937300 5.424100 -0.324700 
7.926200 5.364800 -0.381400 
7.943900 5.249200 -0.279100 
7.984800 5.419700 -0.273300 
7.958400 5.325600 -0.192700 
7.959900 5.318600 -0.382000 
8.197400 5.369400 -0.222900 
8.191100 5.330800 -0.198900 
8.188500 5.333200 -0.353400 
8.193200 5.380400 -0.314500 
8.187800 5.293100 -0.355500 
8.188100 5.308500 -0.196700 
8.194500 5.392500 -0.268900 
8.186200 5.238800 -0.275100 
8.016000 5.244300 -0.279000 
8.013900 5.310300 -0.194200 
8.019400 5.386500 -0.229000 
8.017200 5.334300 -0.196500 
